Description,AvgProfitMargin,TotalSalesDollars,TargetBrand
Alexana Revana Vyd Pnt Nr,48.09440904871438,8047.110000000001,No
Alexander Vly Vyd Cab Svgn,32.911264679723345,63030.82,No
Alexander Vly Vyds Gewurz,29.957036340015065,5164.83,No
Alexander Vly Vyds Merlot,14.419344585726082,6072.1900000000005,No
Alexander Vly Vyds Sin Znfdl,35.46773386693346,479.76,No
Alexanders Crown Cab Svgn,68.83134233642465,5389.259999999999,No
Alias Cab Svgn,38.1167984038063,912.17,No
Alias Chard,24.967809500918502,582.47,No
Alibi Whiskey,63.50710900473935,531.72,No
Alice White Chard Ausl,44.56053882403814,43800.57,No
Alice White Lexia Muscato,40.80140391927464,512.85,No
Alice White Shiraz Ausl,39.16709843189917,17023.14,No
Alisios Pinot Grigio,33.33333333333333,119.88,No
Alize Coco Liqueur,21.263289555972477,95.94,No
Alize Red Passion,31.437147145001077,139.93,No
Allegrini La Grola Veronese,21.19277854522936,629.79,No
Allegrini Palazzo Della Tor,24.923513906176158,67061.20999999999,No
Allegrini Solosole Vermentin,40.34710091237027,1849.03,No
Allegrini Sondraia,80.46880234305458,3134.37,No
Allegrini Valpolicella Clsc,38.8319525230249,19738.41,No
Allen's Amaretto Liqueur,45.67416282038692,101.83,No
Allen's Blue Curacao Liqueur,20.03338898163606,5.99,No
Allen's Ginger Brandy,11.1426726920594,464.7,No
Allen's Pomegranate Liqueur,13.52253756260434,107.82000000000001,No
Allens Coffee Brandy,32.04196007195203,540403.56,No
Allens Triple Sec,27.2549596917741,12668.630000000001,No
Alma Negra Gran Almanegra,86.20524104820964,249.95000000000002,Yes
Almaden B/B Wh Znfdl Cal,37.36183075513736,96892.04,No
Almaden Burgundy B/B,35.692322223096355,89359.33,No
Almaden Cab Svgn Cal B/B,34.9006323926731,173797.08,No
Almaden Chablis B/B,35.78581128845774,103053.05,No
Almaden Chard Cal,41.111252940425615,4935.51,No
Almaden Chard Cal B/B,37.870274453053476,299322.23,No
Almaden Merlot Cal B/B,34.43508865460874,148332.38999999998,No
Almaden Moscato,21.375590605892157,1151.36,No
Almaden Moscato Rhine,19.911012235817573,260.71,No
Almaden Mt Rhine Calif B/B,37.81065413142256,106528.44,No
Almaden Pnt Grigio B/B,32.02306899658497,5560.71,No
Alpataco Malbec,32.45778611632271,575.64,No
Alpataco Pnt Nr,47.48348152377845,735.54,No
Alphonse Dolly Pouilly-Fume,14.20257449742968,1914.1599999999999,No
Alphonse Dolly Sancerre Cvee,37.51961579399656,41356.979999999996,No
Alta Classe Mntplcno Abruzzo,60.73140205744987,327.59000000000003,No
Alta Vista Malbec Mendoza,42.81984334203655,137.88,No
Altadonna Nero D'Avola,86.8678128487767,1594.8600000000001,No
Altadonna Vermentino,96.49327878433664,530.41,Yes
Alter Ego de Palmer Mrgx 11,73.37296327536116,2240.73,No
Alto Ego De Palmer Margaux,97.91873773769643,2665.69,No
Alto Moncayo Garnacha,36.939313337337445,12237.45,No
Alto Moncayo Veraton Garnach,35.695152149145855,12446.34,No
Altocedro Finca Tanos Malbec,23.950222820146294,1783.9499999999998,No
Altocedro Malbec Reserva,31.043681227075687,239.92,No
Alverdi Pnt Grigio,44.31078056757593,14932.98,No
Alverez de Toledo Godello,40.15567181319382,2115.9900000000002,No
Alverez de Toledo Mencia Rbl,36.647703911909154,5350.84,No
Amadeo Chianti,31.53942428035044,191.76,No
Amador Double Barrel Bourbon,19.809859006807773,29952.510000000002,No
Amapola Creek 09 Cab Svgn,82.33900684330584,2507.56,No
Amaretto DiSaronno,29.5663070065659,1546173.66,No
Amaretto DiSaronno Summer Pk,12.186144716906913,52419.85999999999,No
Amaretto di Amore,36.11271327715477,201082.33000000002,No
Amaretto di Amore VAP,5.744040371592737,9650.35,No
Amaro Montenegro Liqueur,37.92475466822531,24380.25,No
Amaro Sfumato Rabarbaro,21.282401091405184,43.98,No
Amarula Cream Liqueur,26.011186030640225,108737.40999999999,No
Ame Neyers Cab Svgn Napa,31.130391298912365,1999.75,No
American Harvest Organic,83.6654924053295,51896.09,No
Americano Petite Syrah,30.774555803399732,1560.12,No
Amrut Fusion Single Malt,90.64297508074566,5384.19,No
AnCnoc 12 Yr Old Scotch,26.58893919909143,58483.83,No
Anakota 11 Helena Montana CS,18.351773138308953,1919.76,No
Anakota Cab Svgn Helena Dako,37.809137906944244,1359.83,No
Anarkos Puglia,66.21297037630104,299.76,Yes
Anastasi Estates Messinia Rd,85.28403299045502,323.73,Yes
Ancho Reyes Chile Liqueur,63.24953918713412,11224.73,No
Anderra Cab Svgn,45.415515030142586,4374.21,No
Anderra Carmenere,32.92547274749722,107.88,No
Anderra Svgn Bl,39.36224760422928,5655.8,No
Andre Bourgogne Pnt Nr RSV,27.01277679723765,12986.039999999999,No
Andre Brut,34.78833646285409,140239.79,No
Andre Cold Duck,35.464987591824396,15360.84,No
Andre Extra Dry,42.761558885238905,244003.85,No
Andre Moscato,23.44634793204788,558.04,No
Andre Pink,35.95608781823228,52191.44,No
Andre Pink Moscato,20.093108321556237,240.58,No
Andre Spumante Calif,34.048754983334426,2295.15,No
Andrew Will Two Blondes WA,33.333333333333336,803.88,No
AnestasiA Vodka,68.47212714273019,7990.389999999999,No
Anew Rose,26.6682114216919,14112.27,No
Anew Rsl,37.65255686833086,13142.64,No
Angel's Envy Rye,50.40505353192351,34475.689999999995,No
Angela Yamhill-Carlton Pnt N,19.389210504236935,1072.71,No
Angeline Chard Cal,18.497428361498898,217.76,No
Angeline Chard RRV,65.4492064229641,22166.09,No
